Tiempo	PIB 2004	IBIF 2004	IPC Base 2016
1993 - 1	400232.6557	63263.84478	8.709532329
1993 - 2	411651.1304	68815.9511	8.977917891
1993 - 3	419926.289	72654.66728	9.082479057
1993 - 4	423308.6053	75250.87429	9.137842756
1994 - 1	429325.2565	76981.68041	9.159470706
1994 - 2	438204.8173	80641.76381	9.249246154
1994 - 3	439310.805	79880.75581	9.417916879
1994 - 4	444762.3647	80761.48946	9.490050163
1995 - 1	437899.1399	77654.59873	9.56486337
1995 - 2	421301.4312	67334.69064	9.590834161
1995 - 3	419673.9458	65780.02807	9.622204918
1995 - 4	422891.9412	65854.31196	9.642627302
1996 - 1	434520.0317	70092.98623	9.588098071
1996 - 2	444204.4665	74221.28585	9.579941955
1996 - 3	454406.4125	77592.89647	9.641899149
1996 - 4	462686.906	79289.7913	9.647864789
1997 - 1	472404.281	82815.08665	9.682230401
1997 - 2	479431.3601	88568.39603	9.664177021
1997 - 3	491499.6895	90755.51046	9.696945912
1997 - 4	498142.0993	92257.976	9.679508352
1998 - 1	500719.594	97992.89052	9.762036371
1998 - 2	510531.2212	97032.43261	9.77471185
1998 - 3	508976.0701	93818.28451	9.804209067
1998 - 4	496000.916	88744.98174	9.743826528
1999 - 1	489821.4717	83848.75688	9.70064886
1999 - 2	484286.9428	82543.81049	9.642847955
1999 - 3	482891.4676	81685.32505	9.605230728
1999 - 4	490969.3775	81897.32516	9.567418926
2000 - 1	489300.0699	80483.75556	9.597702469
2000 - 2	481427.7578	76003.4866	9.531990171
2000 - 3	480199.226	76008.82379	9.538122302
2000 - 4	481672.7565	75026.77962	9.497614529
2001 - 1	482460.9954	72657.62088	9.501670522
2001 - 2	478457.4484	70859.6798	9.502338497
2001 - 3	456228.8948	62779.74505	9.430239314
2001 - 4	430247.2389	53064.488	9.350730222
2002 - 1	409031.6678	39945.23586	10.25572411
2002 - 2	410765.9055	40550.98827	12.20171802
2002 - 3	411071.915	40449.91604	13.05971494
2002 - 4	415260.9719	43884.39803	13.17952921
2003 - 1	430604.9361	49426.71264	13.50737859
2003 - 2	444230.676	54431.20188	13.45147329
2003 - 3	455086.0662	58631.25103	13.51985548
2003 - 4	463625.7512	65250.89597	13.66203588
2004 - 1	475580.6988	74101.962	13.81474742
2004 - 2	470117.0486	77013.10656	14.11451377
2004 - 3	493688.2328	78159.35468	14.31781489
2004 - 4	501074.8004	79138.28509	14.49497873
2005 - 1	515466.6929	85427.81732	15.07904569
2005 - 2	526287.5218	87549.24488	15.38362628
2005 - 3	529905.8512	88596.49511	15.78748039
2005 - 4	540563.7041	95655.86323	16.28206277
2006 - 1	554560.999	97174.54028	16.75470027
2006 - 2	561169.8149	100937.5163	17.07911951
2006 - 3	576896.4352	104203.3339	17.4365965
2006 - 4	589570.3678	106615.1865	17.88405955
2007 - 1	603213.9489	116061.8633	18.48091343
2007 - 2	616210.6985	121746.8145	19.08046191
2007 - 3	624573.9195	125871.9462	19.59782509
2007 - 4	643771.4437	128889.3367	19.89962028
2008 - 1	649568.5785	139530.2311	20.72820975
2008 - 2	653329.8882	141912.7388	21.35200963
2008 - 3	658526.0855	134285.2733	21.91113911
2008 - 4	627280.0867	119672.8167	22.38134679
2009 - 1	604353.824	103638.3853	22.92969787
2009 - 2	591077.7523	98118.005	23.29481616
2009 - 3	614278.6772	103405.809	23.87819704
2009 - 4	625781.2522	109383.5689	24.9277437
2010 - 1	644789.0131	118278.854	25.97998496
2010 - 2	673595.5277	129157.4625	26.60782674
2010 - 3	677244.3534	133757.4555	27.50243391
2010 - 4	686465.8235	142189.2619	28.45228037
2011 - 1	702910.3035	149876.698	29.57862313
2011 - 2	709227.1075	153459.2847	30.4072126
2011 - 3	715183.407	157842.5017	31.36244827
2011 - 4	715805.5709	153157.8561	32.37157593
2012 - 1	708101.0604	145129.285	33.69327718
2012 - 2	683290.8369	134045.4519	34.79402124
2012 - 3	705279.7269	143363.7778	35.9324897
2012 - 4	717272.3336	148332.2937	37.43338185
2013 - 1	717112.5367	146299.1684	38.61496391
2013 - 2	720685.2863	147218.8932	39.88317334
2013 - 3	725535.5874	145932.3682	41.45290865
2013 - 4	718295.0107	144775.8421	45.16548326
2014 - 1	707558.4585	141640.0894	50.50889915
2014 - 2	703181.5609	139279.7859	53.48841425
2014 - 3	697574.9865	133811.8691	56.88141811
2014 - 4	700909.1779	130026.8445	60.14782092
