tiempo	PIB 		IBIF		M0		M1		M2		M3		IPC
1970	277852.0796	61897.67307	0.00010105	0.00017119	0.00025247	0.00030142	5.37614E-11
1971	288609.8218	68618.7454	0.00012979	0.00022522	0.00032676	0.00040707	7.47936E-11
1972	293493.2144	69367.42181	0.00018566	0.00031768	0.00047271	0.00064457	1.22773E-10
1973	306216.5745	67193.70791	0.00045129	0.00063981	0.00094945	0.00123957	1.76507E-10
1974	322511.8806	70681.85938	0.0007131	0.00104172	0.00150493	0.001988	2.47289E-10
1975	317314.2064	69171.74502	0.0023389	0.00303374	0.00368837	0.00480748	1.07561E-09
1976	318348.6196	72889.60402	0.01029885	0.01177791	0.01439641	0.02174073	4.81388E-09
1977	334145.7312	85451.20313	0.03600093	0.0295403	0.03347761	0.06992041	1.2537E-08
1978	329845.8935	75003.76411	0.07117461	0.07622061	0.08712496	0.19385229	3.38305E-08
1979	347059.9883	86008.45659	0.13175		0.186828	0.212544	0.551607	8.11037E-08
1980	350154.6918	88301.72796	0.23593		0.379401	0.442714	1.04695		1.52179E-07
1981	326423.6111	75081.20655	0.51328		0.67973		0.8006		2.12399		3.51952E-07
1982	323215.7884	60108.76329	4.33242		2.14068		2.44897		4.78053		1.0901E-06
1983	334404.8781	60343.97502	19.7646		9.7792		12.9845		23.7754		9.20923E-06
1984	339169.8137	57853.97498	105.848		57.8422		82.5594		152.3195	4.58429E-05
1985	317957.3417	49686.4504	515.3859	525.5313	677.2883	1040.2369	0.00022253
1986	342905.1828	55177.4277	694.3006	868.6271156	1129.660316	2001.542216	0.000404801
1987	352554.1772	62322.99786	1351.9004	1667.084436	2285.366336	4751.170336	0.001112352
1988	338812.4435	60116.87404	6999.697	7739.680527	10162.38053	25761.28053	0.00542538
1989	308427.4706	47139.67511	368829.7	345214.6666	10162.38053	638480.7666	0.272546587
1990	318246.6413	39191.14077	3617130		3043618.2	4617155.2	6224230.2	3.935381551
1991	356851.128	50927.39505	7822885		8143831		10175308	13432309	7.24058202
1992	382896.6061	67554.43118	7681500		11835857	14829583	21447604	8.51100378
1993	411018.2346	69996.33436	14989161	16179274	20830120	30377449	9.137842756
1994	435006.0837	79566.42237	16069123	16942844	22270394	32553823	9.490050163
1995	422629.2488	69155.90735	13050012	16643984	21345711	30226925	9.642627302
1996	445986.6565	75299.23996	14030363	19902647	25703024	36067958	9.647864789
1997	482160.8427	88599.24228	15965670	23201172	30695428	44950743	9.679508352
1998	500724.8976	94397.14734	16370167	23756374	32396207	48140006	9.743826528
1999	483773.0712	82493.80439	16492773.52	22838171.52	30943788.52	46086939.52	9.567418926
2000	479956.1069	76880.7114	15054195.37	22112542.37	30047535.37	44396659.37	9.497614529
2001	458795.6115	64840.38343	11981250	15831289	20514947	27552813	9.350730222
2002	408812.1933	41207.63455	29151148	30833126	40023427	81098978	13.17952921
2003	444939.0935	56935.01538	46391026	48951595	63632573	110944881	13.66203588
2004	485115.1952	77103.17708	52477414	64042681	85951804	135649025	14.49497873
2005	528055.9425	89307.35513	54710492	81612676	107268662	164834990	16.28206277
2006	570549.4042	102232.6443	80066309	97968870	127334870	203579658	17.88405955
2007	621942.5026	123142.4902	99278658	123142460	160192026	244595467	19.89962028
2008	647176.1597	133850.265	109449031	143955174	182701684	272296061	22.38134679
2009	608872.8764	103636.442	122350171	163459240	209413540	307573403	24.9277437
2010	670523.6794	130845.7585	160407987	221533814	281959656	421189592	28.45228037
2011	710781.5972	153584.0851	222921853	287482511	366070262	547749375	32.37157593
2012	703485.9895	142717.7021	307351516	395809119	506801657	747483810	37.43338185
2013	720407.1053	146056.568	377196524	492095625	637065832	944058692	45.16548326
2014	702306.046	136189.6472	462564475	632617644	821340908	1205515737	60.14782092
2015	721487.1466	140905.2202	623889517	799273498	1052870454	1604639843	77.00792098
2016	706477.8486	132763.0555	821664245	1022714417	1729647869	2032012272	100
2017	726389.9478	150527.5145	1001112808	1226161510	1729647869	2535345247	125.0392
2018	707377.443	141878.7334	1408977251	1495411658	2123330639	3484728963	183.9381
2019	693046.4412	119334.2058	1895380875	1942914094	2738520248	4389740513	281.1775
2020	624467.6318	103909.4823	2470259790	3363232442	4898304065	7948471288	377.0507
2021	688561.4966	128052.0998	3654036382	5352385404	7810438039	12561245247	570.9981
